vokabularliste russisch:

день                = day, afternoon
Добрый              = good, kind, nice
вечер               = evening
это                 = this, this is, that, these
не                  = not, no
мой                 = my, mine
мотор               = motor
там                 = there, is there
Да                  = yes
радио               = radio
а                   = and, but
дом                 = house
всё                 = all, is all, everything
Как                 = how
ты                  = you, are you, you are
утро                = morning
как дела            = how are you?
хорошо              = OK, okay
всё хорошо?         = Is everything OK?
ем                  = eat (1st person)
хлеб                = bread
женщины, женщинам   = wome
кафе                = café, cafe
Они                 = they, they are
в                   = in, at
где                 = where
он                  = he
ест                 = eat (3rd person)
девочка             = girl
человек             = man, person
город               = city
или                 = or
здесь               = here
до свидания         = goodbye
надо                = need
не надо             = no need
видим               = see
тебя                = you
скорого             = soon
До                  = to, while
До скорого, мама    = See you, mom
Не надо             = Don't!
Мы                  = we
сестра              = sister
моя                 = my (female)
брат                = brother
Мой                 = my (male)
У	меня	есть        = i have
У нас есть          = we have
молоко              = milk
ребёнок             = child
яблоки              = apples
есть                = have
