Как Вас зовут?	                           = What's your name?
Меня зовут...                              = My name is...
До скорого, мама                           = See you, mom
Не надо                                    = Don't!
как дела?                                  = How are you?
всё хорошо?                                = Is everything okay?
Доброе утро                                = good morning
Добрый день                                = good day, good afternoon
Добрый вечер                               = good evening
Здравствуйте                               = hello!
Привет!                                    = hi!
Спасибо                                    = thank you!
Пожалуйста                                 = you are welcome
Извините                                   = sorry!
Пока!                                      = goodbye
